index,Cross Entropy,Accuracy
0.946794,0.352723,1
0.949017,0.33549,2
0.949807,0.326228,3
0.950104,0.319827,4
0.950894,0.314988,5
0.951586,0.311025,6
0.951833,0.307626,7
0.952228,0.304689,8
0.952673,0.302129,9
0.953018,0.299826,10
0.953216,0.297713,11
0.953463,0.295777,12
0.953661,0.293959,13
0.953908,0.292268,14
0.954105,0.29067,15
0.954451,0.289151,16
0.954698,0.287713,17
0.954896,0.286345,18
0.954995,0.285032,19
0.95539,0.283792,20
0.955439,0.282609,21
0.955489,0.281453,22
0.955785,0.280331,23
0.95623,0.279246,24
0.95623,0.278184,25
0.95623,0.277162,26
0.956378,0.276176,27
0.956526,0.27521,28
0.956575,0.27428,29
0.956872,0.273364,30
0.956971,0.272472,31
0.957069,0.271598,32
0.957218,0.270752,33
0.957366,0.269915,34
0.957514,0.269111,35
0.957465,0.268306,36
0.957415,0.267521,37
0.957613,0.266752,38
0.957712,0.266007,39
0.957712,0.265264,40
0.95786,0.264538,41
0.957959,0.263821,42
0.958008,0.263122,43
0.958058,0.262423,44
0.958107,0.261734,45
0.958156,0.261061,46
0.958156,0.260395,47
0.958206,0.25974,48
0.958206,0.259097,49
0.958255,0.258462,50
0.958305,0.257845,51
0.958305,0.257225,52
0.958453,0.256617,53
0.958502,0.256014,54
0.9587,0.255423,55
0.958749,0.254842,56
0.958799,0.254261,57
0.958799,0.25369,58
0.958947,0.253136,59
0.959046,0.252578,60
0.959095,0.252031,61
0.959144,0.251497,62
0.959243,0.250967,63
0.959293,0.250437,64
0.959391,0.24991,65
0.95949,0.249391,66
0.95949,0.248875,67
0.95954,0.248368,68
0.95954,0.247869,69
0.959638,0.247368,70
0.959885,0.246876,71
0.959984,0.246387,72
0.960034,0.245901,73
0.960083,0.24542,74
0.960132,0.24495,75
0.960182,0.244481,76
0.96033,0.244024,77
0.960281,0.243569,78
0.960429,0.243113,79
0.960429,0.24266,80
0.960577,0.242214,81
0.960626,0.241765,82
0.960725,0.241324,83
0.960775,0.240883,84
0.960824,0.240453,85
0.960824,0.240023,86
0.960873,0.239593,87
0.960873,0.23917,88
0.960923,0.238748,89
0.960923,0.238332,90
0.960972,0.237918,91
0.96112,0.237507,92
0.961318,0.237101,93
0.961367,0.236701,94
0.961417,0.2363,95
0.961516,0.235909,96
0.961565,0.235519,97
0.961614,0.235122,98
0.962158,0.234731,99
0.962207,0.234344,100
0.962257,0.233964,101
0.962504,0.233587,102
0.962504,0.233208,103
0.962504,0.232833,104
0.962603,0.232457,105
0.962701,0.232092,106
0.9628,0.231725,107
0.9628,0.231355,108
0.9628,0.230994,109
0.962899,0.230641,110
0.962899,0.230284,111
0.962899,0.229929,112
0.962899,0.229576,113
0.962899,0.229226,114
0.962899,0.228878,115
0.962948,0.228533,116
0.962998,0.228194,117
0.962948,0.227856,118
0.962998,0.227517,119
0.962998,0.22718,120
0.963097,0.226841,121
0.963097,0.226507,122
0.963195,0.22618,123
0.963245,0.225854,124
0.963195,0.225528,125
0.963195,0.225203,126
0.963195,0.22488,127
0.963245,0.224559,128
0.963393,0.224241,129
0.963393,0.223925,130
0.96364,0.223609,131
0.963541,0.223297,132
0.96364,0.222984,133
0.963689,0.222675,134
0.963739,0.222365,135
0.963788,0.222057,136
0.963788,0.221755,137
0.963936,0.221454,138
0.963887,0.221155,139
0.963887,0.220855,140
0.963936,0.220559,141
0.963986,0.220263,142
0.964085,0.219971,143
