index,Cross Entropy,Accuracy
0,1.00016,0.474607,0.016605
1,0.770732,0.886869,0.030506
2,0.650958,0.892945,0.043303
3,0.57477,0.895465,0.05547
4,0.520801,0.897441,0.067281
5,0.480049,0.897836,0.078529
6,0.447977,0.898577,0.089344
7,0.421882,0.901492,0.09984
8,0.400141,0.901344,0.110051
9,0.381691,0.89996,0.12002
10,0.365788,0.902925,0.129835
11,0.351889,0.899812,0.139399
12,0.33962,0.902332,0.148791
13,0.328685,0.903419,0.158161
14,0.318865,0.903913,0.167537
15,0.30997,0.905049,0.176899
16,0.301874,0.904505,0.186278
17,0.294466,0.907321,0.195646
18,0.287647,0.904802,0.204975
19,0.281343,0.908112,0.214327
20,0.275491,0.907223,0.223658
21,0.270044,0.907717,0.232988
22,0.264949,0.91078,0.242326
23,0.260177,0.908013,0.251649
24,0.255693,0.910483,0.260963
25,0.251466,0.908359,0.270325
26,0.247469,0.91078,0.279659
27,0.243688,0.912805,0.288994
28,0.240099,0.911619,0.298326
29,0.236684,0.908902,0.307636
30,0.233435,0.908853,0.31698
31,0.230332,0.915275,0.326334
32,0.227372,0.910631,0.335658
33,0.224539,0.91078,0.34497
34,0.221822,0.915473,0.354314
35,0.219214,0.912459,0.363643
36,0.216711,0.915325,0.372958
37,0.214302,0.91325,0.38229
38,0.211984,0.91567,0.391595
39,0.209749,0.913447,0.400908
40,0.207594,0.914386,0.410249
41,0.20551,0.917844,0.419567
42,0.203495,0.913645,0.428895
43,0.201547,0.91656,0.438222
44,0.199662,0.915769,0.447537
45,0.197834,0.915621,0.456847
46,0.19606,0.918239,0.466165
47,0.194339,0.916313,0.475485
48,0.192666,0.916066,0.484793
49,0.191041,0.915078,0.494127
50,0.189461,0.917943,0.503459
51,0.187923,0.91651,0.512778
52,0.186425,0.919919,0.522107
53,0.184965,0.919129,0.531438
54,0.183543,0.914831,0.540759
55,0.182155,0.918486,0.550076
56,0.180801,0.921944,0.559412
57,0.17948,0.917152,0.568756
58,0.178189,0.919474,0.578077
59,0.176926,0.918832,0.587394
60,0.175694,0.91735,0.596737
61,0.174489,0.918585,0.606067
62,0.173311,0.919227,0.615408
63,0.172157,0.91987,0.624742
64,0.171027,0.919079,0.634098
65,0.16992,0.920265,0.643427
66,0.168836,0.91982,0.65275
67,0.167773,0.921549,0.662065
68,0.16673,0.920512,0.671404
69,0.165708,0.920166,0.680731
70,0.164705,0.92234,0.690069
71,0.163723,0.921994,0.699404
72,0.162756,0.917202,0.708724
73,0.161808,0.919474,0.718051
74,0.160877,0.919968,0.727372
75,0.159962,0.921697,0.736687
76,0.159063,0.921994,0.746001
77,0.15818,0.921203,0.755336
78,0.15731,0.921154,0.764642
79,0.156456,0.923031,0.773968
80,0.155615,0.920018,0.783304
81,0.154788,0.925551,0.792619
82,0.153974,0.918684,0.801986
83,0.153173,0.920956,0.811336
84,0.152383,0.923624,0.820658
85,0.151606,0.925699,0.829988
86,0.150841,0.922735,0.839325
87,0.150087,0.922735,0.84865
88,0.149344,0.923278,0.857982
89,0.148612,0.922043,0.867345
90,0.147891,0.922537,0.876662
91,0.14718,0.923377,0.885966
92,0.146479,0.922241,0.895324
93,0.145787,0.921944,0.904646
94,0.145106,0.925156,0.914851
95,0.144434,0.928416,0.926044
96,0.14377,0.927576,0.937508
97,0.143114,0.927922,0.948733
98,0.142468,0.931479,0.959997
99,0.14183,0.929602,0.971402
100,0.1412,0.928219,0.982613
101,0.140577,0.926539,0.993879
102,0.139964,0.929108,1.00803
103,0.139357,0.937111,1.02392
104,0.138758,0.926094,1.03495
105,0.138165,0.927527,1.04595
106,0.13758,0.925452,1.05705
107,0.137002,0.927231,1.06802
108,0.136431,0.925699,1.07913
109,0.135867,0.925798,1.09004
110,0.135308,0.927675,1.10112
111,0.134757,0.931133,1.11207
112,0.134212,0.92565,1.12296
113,0.133673,0.927033,1.13408
114,0.133139,0.926588,1.14496
115,0.132611,0.926144,1.15591
116,0.132089,0.923624,1.16686
117,0.131573,0.928713,1.17777
118,0.131063,0.926045,1.18873
119,0.130557,0.929305,1.19976
120,0.130058,0.930787,1.21088
121,0.129563,0.931677,1.2218
122,0.129074,0.927823,1.23281
123,0.12859,0.928021,1.24367
124,0.128111,0.925995,1.25472
125,0.127636,0.925353,1.26576
126,0.127166,0.927922,1.27675
127,0.1267,0.92891,1.28781
128,0.126239,0.929305,1.29871
129,0.125783,0.928367,1.30965
130,0.125331,0.928663,1.32063
131,0.124883,0.930145,1.33167
132,0.12444,0.927675,1.34272
133,0.124001,0.928219,1.35368
134,0.123566,0.92896,1.36465
135,0.123135,0.930046,1.37562
136,0.122709,0.929552,1.38661
137,0.122285,0.929108,1.39746
138,0.121866,0.93143,1.40847
139,0.121451,0.932368,1.41941
140,0.121039,0.930787,1.43038
141,0.120631,0.929009,1.44132
142,0.120226,0.931034,1.4522
143,0.119826,0.929701,1.46319
144,0.119428,0.93059,1.47439
145,0.119034,0.930985,1.48543
146,0.118643,0.930985,1.49634
147,0.118256,0.928021,1.50723
148,0.117872,0.929256,1.51819
149,0.117492,0.927329,1.52911
150,0.117114,0.929108,1.54002
151,0.11674,0.928317,1.5509
152,0.116368,0.928466,1.56188
153,0.116,0.931034,1.57295
154,0.115634,0.929602,1.58395
155,0.115271,0.929108,1.59489
156,0.114911,0.929305,1.60578
157,0.114555,0.929552,1.61674
158,0.114201,0.932023,1.62777
159,0.113849,0.932171,1.63884
160,0.113501,0.928713,1.64975
161,0.113155,0.930689,1.66067
162,0.112812,0.93138,1.67161
163,0.112471,0.930046,1.68267
164,0.112133,0.929552,1.69361
165,0.111798,0.931084,1.70463
166,0.111465,0.928169,1.71564
167,0.111135,0.931034,1.7267
168,0.110807,0.930738,1.73765
169,0.110481,0.932665,1.74866
170,0.110158,0.928021,1.75967
171,0.109837,0.93227,1.77073
172,0.109519,0.929009,1.78162
173,0.109202,0.930442,1.79266
174,0.108889,0.930442,1.80363
175,0.108577,0.932665,1.81459
176,0.108268,0.927823,1.82556
177,0.107961,0.932319,1.83655
178,0.107655,0.93222,1.84762
179,0.107353,0.929207,1.85852
180,0.107052,0.929898,1.86965
181,0.106753,0.931776,1.88051
182,0.106456,0.932566,1.89158
183,0.106161,0.933159,1.90247
184,0.105869,0.93227,1.91357
185,0.105578,0.931529,1.92451
186,0.105289,0.932615,1.93555
187,0.105002,0.932319,1.94662
188,0.104717,0.930886,1.95766
189,0.104434,0.935085,1.96866
190,0.104153,0.932615,1.97961
191,0.103873,0.933702,1.9905
192,0.103596,0.931825,2.00156
193,0.103319,0.930837,2.01269
194,0.103045,0.932171,2.02361
195,0.102773,0.933455,2.03467
196,0.102502,0.931627,2.04573
197,0.102234,0.932171,2.05667
198,0.101966,0.932764,2.06776
199,0.101701,0.933653,2.0788
200,0.101437,0.933505,2.08967
201,0.101175,0.931281,2.10063
202,0.100914,0.932813,2.11159
203,0.100655,0.93474,2.1227
204,0.100398,0.932517,2.13363
205,0.100142,0.933801,2.14463
206,0.0998874,0.936518,2.1555
207,0.0996344,0.93306,2.16661
208,0.0993831,0.930195,2.17747
209,0.0991334,0.932615,2.18857
210,0.0988851,0.932566,2.19948
211,0.0986387,0.934443,2.21046
212,0.0983936,0.93385,2.22161
213,0.0981499,0.932319,2.23264
214,0.0979075,0.933554,2.24359
215,0.0976666,0.933307,2.25446
216,0.0974268,0.932566,2.26543
217,0.0971889,0.933208,2.2765
218,0.0969525,0.934443,2.28755
219,0.0967172,0.933702,2.29842
220,0.096483,0.933208,2.30956
221,0.0962505,0.931183,2.32048
222,0.0960192,0.936666,2.33158
223,0.0957889,0.931924,2.34246
224,0.0955598,0.934641,2.35357
225,0.0953323,0.934789,2.36451
226,0.0951061,0.932171,2.3755
227,0.0948812,0.934097,2.38651
228,0.0946574,0.933603,2.39739
229,0.094435,0.934888,2.40844
230,0.0942139,0.934344,2.41943
231,0.0939939,0.936271,2.43035
232,0.093775,0.935234,2.4413
233,0.0935574,0.934048,2.45218
234,0.0933408,0.9339,2.46315
235,0.0931255,0.932912,2.47419
236,0.0929111,0.93553,2.48525
237,0.0926979,0.933702,2.49633
238,0.0924858,0.934838,2.50742
239,0.0922752,0.935184,2.51855
240,0.0920654,0.934048,2.52948
241,0.0918569,0.934987,2.54051
242,0.0916491,0.932912,2.55153
243,0.0914425,0.935925,2.56265
244,0.0912372,0.9339,2.57373
245,0.0910327,0.93474,2.58474
246,0.0908291,0.938791,2.59571
247,0.0906268,0.936518,2.60666
248,0.0904257,0.937111,2.61769
249,0.0902256,0.936913,2.62877
250,0.0900265,0.934789,2.63963
251,0.0898284,0.93306,2.65057
252,0.0896309,0.936568,2.66169
253,0.0894348,0.93721,2.67261
254,0.0892394,0.935777,2.68369
255,0.0890451,0.93469,2.69474
256,0.0888518,0.934295,2.70584
257,0.0886594,0.933603,2.7168
258,0.0884679,0.93637,2.72771
259,0.0882773,0.937753,2.73868
260,0.0880878,0.937309,2.74962
261,0.0878991,0.934344,2.76065
262,0.0877111,0.933801,2.77179
263,0.0875243,0.932319,2.78268
264,0.0873383,0.938593,2.79364
265,0.0871531,0.936074,2.80474
266,0.0869691,0.937358,2.81588
267,0.086786,0.937951,2.82679
268,0.0866039,0.937605,2.83772
269,0.0864225,0.937358,2.84873
270,0.086242,0.936815,2.85965
271,0.0860621,0.936913,2.87059
272,0.0858832,0.936469,2.88163
273,0.0857052,0.936963,2.8926
274,0.0855279,0.932764,2.90352
275,0.0853516,0.936716,2.91447
276,0.085176,0.934344,2.92555
277,0.0850012,0.937062,2.93655
278,0.0848272,0.935085,2.94745
279,0.0846538,0.936271,2.95849
280,0.0844815,0.936321,2.96961
281,0.0843098,0.938544,2.98049
282,0.0841391,0.935579,2.99165
283,0.083969,0.937259,3.00325
284,0.0837995,0.940322,3.01474
285,0.0836309,0.937556,3.02572
286,0.0834632,0.93469,3.03665
287,0.0832961,0.937852,3.04764
288,0.08313,0.938148,3.05862
289,0.0829645,0.937259,3.06971
290,0.0827996,0.936123,3.08082
291,0.0826355,0.936518,3.09174
292,0.082472,0.937901,3.10262
293,0.0823097,0.938148,3.11362
294,0.0821477,0.936716,3.12458
295,0.0819864,0.937062,3.1357
296,0.081826,0.938791,3.14672
297,0.0816663,0.93716,3.1576
298,0.0815073,0.939136,3.16867
299,0.0813487,0.936518,3.17959
300,0.081191,0.936419,3.19053
301,0.0810341,0.937062,3.20143
302,0.0808776,0.935481,3.2125
303,0.080722,0.937753,3.2235
304,0.0805671,0.938544,3.23439
305,0.0804128,0.938939,3.24531
306,0.0802587,0.938346,3.2562
307,0.0801057,0.936815,3.26715
308,0.0799533,0.93884,3.27805
309,0.0798015,0.938988,3.28892
310,0.0796503,0.935678,3.29983
311,0.0794998,0.938741,3.31081
312,0.0793497,0.939334,3.32195
313,0.0792005,0.937803,3.33294
314,0.0790518,0.938692,3.3439
315,0.0789039,0.938939,3.35487
316,0.0787566,0.938642,3.36597
317,0.0786096,0.93469,3.37691
318,0.0784632,0.936913,3.38777
319,0.0783176,0.937852,3.39882
320,0.0781725,0.937062,3.40978
321,0.0780278,0.938445,3.42088
322,0.0778841,0.937605,3.4318
323,0.0777407,0.93474,3.44277
324,0.077598,0.939828,3.45384
325,0.0774559,0.936419,3.46474
326,0.0773143,0.937654,3.47565
327,0.0771732,0.934493,3.48654
328,0.0770328,0.935036,3.49755
329,0.0768929,0.938642,3.50846
330,0.0767537,0.936765,3.51955
331,0.076615,0.940174,3.53045
332,0.0764767,0.93721,3.54152
333,0.0763389,0.93884,3.55241
334,0.0762016,0.940619,3.56334
335,0.0760653,0.935184,3.57425
336,0.0759292,0.936123,3.58513
337,0.0757937,0.938395,3.59602
338,0.0756587,0.939877,3.60692
339,0.0755241,0.939482,3.61784
340,0.07539,0.935036,3.62876
341,0.0752566,0.937901,3.63969
342,0.0751236,0.937457,3.65069
343,0.0749912,0.936765,3.66158
344,0.0748593,0.938692,3.67259
345,0.0747279,0.939976,3.68351
346,0.0745967,0.94047,3.69454
347,0.0744664,0.93805,3.70549
348,0.0743366,0.936568,3.71655
349,0.0742073,0.941014,3.72761
350,0.0740785,0.939779,3.73854
351,0.0739503,0.935629,3.74951
352,0.0738221,0.93884,3.76051
353,0.0736947,0.940619,3.77163
354,0.0735675,0.940866,3.78252
355,0.073441,0.938544,3.79343
356,0.0733151,0.941211,3.80443
357,0.0731896,0.938593,3.81533
358,0.0730644,0.939285,3.82626
359,0.0729397,0.939235,3.83716
360,0.0728155,0.939828,3.84811
361,0.0726915,0.939136,3.85905
362,0.0725682,0.935826,3.87016
363,0.0724455,0.938445,3.88105
364,0.0723232,0.940322,3.89214
365,0.0722012,0.938,3.90308
366,0.0720796,0.938346,3.91402
367,0.0719585,0.939334,3.92509
368,0.0718378,0.937407,3.93603
369,0.0717175,0.938939,3.94694
370,0.0715978,0.940124,3.95784
371,0.0714786,0.937852,3.96888
372,0.0713598,0.941854,3.97974
373,0.0712413,0.937506,3.99067
374,0.0711232,0.941607,4.00169
375,0.0710056,0.937901,4.01273
376,0.0708884,0.937506,4.02383
377,0.0707717,0.936765,4.03476
378,0.0706553,0.934443,4.04582
379,0.0705394,0.937803,4.0567
380,0.0704239,0.940075,4.06769
381,0.0703088,0.940668,4.07858
382,0.0701941,0.93968,4.0896
383,0.0700798,0.937605,4.10046
384,0.0699659,0.938544,4.11153
385,0.0698523,0.939383,4.12244
386,0.0697392,0.938889,4.13339
387,0.0696266,0.940569,4.14436
388,0.0695142,0.939976,4.15524
389,0.0694022,0.936469,4.16613
390,0.0692904,0.938099,4.17704
391,0.0691793,0.938,4.18808
392,0.0690685,0.941014,4.199
393,0.0689581,0.937259,4.20995
394,0.0688479,0.941458,4.22087
395,0.0687382,0.94136,4.23179
396,0.068629,0.939038,4.24292
397,0.06852,0.941458,4.25381
398,0.0684115,0.942101,4.26478
399,0.0683033,0.941656,4.27571
400,0.0681953,0.938198,4.28659
401,0.0680878,0.941211,4.29759
402,0.0679805,0.938741,4.30848
403,0.0678737,0.942743,4.3194
404,0.0677674,0.938148,4.33041
405,0.0676613,0.936765,4.34134
406,0.0675555,0.940223,4.35243
407,0.0674501,0.937556,4.36332
408,0.0673451,0.939927,4.37439
409,0.0672405,0.940273,4.38531
410,0.0671362,0.940174,4.39622
411,0.0670322,0.937259,4.4071
412,0.0669288,0.940322,4.41819
413,0.0668255,0.940717,4.42908
414,0.0667225,0.941211,4.44004
415,0.0666201,0.938741,4.45112
416,0.0665179,0.941557,4.46204
417,0.0664159,0.942199,4.47313
418,0.0663146,0.938198,4.48419
419,0.0662134,0.941755,4.49512
420,0.0661126,0.942397,4.50615
421,0.0660122,0.940372,4.51705
422,0.065912,0.941656,4.52807
423,0.065812,0.940223,4.539
424,0.0657124,0.940767,4.54992
425,0.0656131,0.93968,4.5609
426,0.0655141,0.941211,4.57197
427,0.0654154,0.939285,4.58294
428,0.0653171,0.941113,4.59391
429,0.0652191,0.941261,4.60491
430,0.0651214,0.93963,4.61583
431,0.065024,0.938544,4.62674
432,0.064927,0.93716,4.63768
433,0.0648302,0.938791,4.64859
434,0.0647339,0.938494,4.65968
435,0.0646376,0.940569,4.67078
436,0.0645419,0.939383,4.68168
437,0.0644465,0.94052,4.69263
438,0.0643511,0.940124,4.70364
439,0.0642561,0.939927,4.71458
440,0.0641614,0.942051,4.72571
441,0.064067,0.939235,4.73663
442,0.063973,0.941854,4.74761
443,0.063879,0.940075,4.75866
444,0.0637856,0.937753,4.76975
445,0.0636924,0.94215,4.78062
446,0.0635995,0.94131,4.79166
447,0.063507,0.940619,4.80258
448,0.0634146,0.939235,4.81355
449,0.0633226,0.938148,4.82463
450,0.0632309,0.938593,4.83552
451,0.0631394,0.940619,4.84659
452,0.0630482,0.940619,4.85753
453,0.0629573,0.939433,4.86855
