index,Cross Entropy,Accuracy
1,0.997312,
2,0.839527,
4,0.830641,
4,0.830641,
4,0.830637,
5,0.343211,
6,0.342978,
8,0.342905,
8,0.342905,
8,0.342914,
9,0.323378,
11,0.323352,
12,0.323344,
14,0.311716,
14,0.311716,
15,0.311711,
16,0.31171,
17,0.303337,
18,0.30329,
19,0.303081,
20,0.303069,
21,0.296806,
22,0.296354,
23,0.296198,
24,0.296181,
25,0.291087,
26,0.290571,
27,0.290439,
28,0.290409,
29,0.286039,
30,0.285447,
31,0.285326,
32,0.285278,
33,0.28164,
34,0.280945,
35,0.280855,
36,0.280686,
37,0.277489,
38,0.276852,
39,0.27678,
40,0.276616,
41,0.273644,
42,0.273089,
43,0.272996,
44,0.272857,
45,0.270226,
46,0.269572,
47,0.269379,
48,0.269337,
49,0.266902,
50,0.266296,
51,0.266118,
52,0.266076,
53,0.263807,
54,0.263228,
55,0.263064,
56,0.263011,
57,0.260884,
58,0.260324,
59,0.260211,
60,0.260142,
61,0.258074,
62,0.257627,
63,0.257548,
64,0.257374,
65,0.255448,
66,0.255198,
67,0.254945,
68,0.254775,
69,0.252926,
70,0.252851,
71,0.252455,
72,0.252296,
73,0.250608,
74,0.250546,
75,0.250081,
76,0.249931,
77,0.248453,
78,0.248255,
79,0.247816,
80,0.247684,
81,0.246401,
82,0.246084,
83,0.245653,
84,0.245523,
85,0.244409,
86,0.243967,
87,0.243561,
88,0.243439,
89,0.242449,
90,0.241987,
91,0.241595,
92,0.241405,
93,0.240557,
94,0.240055,
95,0.239669,
96,0.239491,
97,0.238727,
98,0.238173,
99,0.23786,
100,0.237681,
101,0.236901,
102,0.236376,
103,0.236091,
104,0.23591,
105,0.235139,
106,0.234662,
107,0.23438,
108,0.234181,
109,0.233443,
110,0.232936,
111,0.232744,
112,0.232507,
113,0.231782,
114,0.231304,
115,0.231138,
116,0.230912,
117,0.230166,
118,0.229716,
119,0.229547,
120,0.229393,
121,0.228597,
122,0.228165,
123,0.227991,
124,0.227963,
125,0.227071,
126,0.226691,
127,0.226492,
128,0.226481,
129,0.225604,
130,0.225239,
131,0.225052,
132,0.22504,
133,0.224168,
134,0.223822,
135,0.223644,
136,0.223631,
137,0.222768,
138,0.222443,
139,0.222275,
140,0.222254,
141,0.221409,
142,0.221106,
143,0.220942,
144,0.220917,
145,0.220084,
146,0.219807,
147,0.219646,
148,0.219616,
149,0.218791,
150,0.218531,
151,0.218372,
152,0.218336,
153,0.21752,
154,0.217284,
155,0.21713,
156,0.217092,
157,0.216276,
158,0.216079,
159,0.215885,
160,0.215862,
161,0.215062,
162,0.214903,
163,0.214675,
164,0.214672,
165,0.213881,
166,0.213759,
167,0.213501,
168,0.213486,
169,0.212712,
170,0.212657,
171,0.212359,
172,0.212333,
173,0.211583,
174,0.211502,
175,0.211247,
176,0.211221,
177,0.21045,
178,0.210402,
179,0.210181,
180,0.210115,
181,0.209364,
182,0.209355,
183,0.209084,
184,0.209037,
185,0.208307,
186,0.208299,
187,0.208042,
188,0.207987,
189,0.207275,
190,0.207266,
191,0.207025,
192,0.206962,
193,0.206258,
194,0.206251,
195,0.20602,
196,0.205953,
197,0.205259,
198,0.205252,
199,0.205034,
200,0.204972,
