Loss,Accuracy
0.021721,0.924785
0.038436,0.849506
0.053289,0.774385
0.067199,0.702809
0.080458,0.641821
0.092848,0.587893
0.104668,0.539352
0.115833,0.497544
0.126242,0.462703
0.136328,0.433544
0.145801,0.408779
0.155041,0.387668
0.164133,0.369438
0.173142,0.353349
0.182087,0.33899
0.190888,0.326102
0.199548,0.314578
0.208141,0.304139
0.216642,0.294715
0.225074,0.286164
0.233513,0.278379
0.241844,0.271242
0.250094,0.264684
0.258324,0.258657
0.26658,0.253104
0.274771,0.24793
0.28301,0.243103
0.291245,0.238636
0.299405,0.234454
0.307534,0.230559
0.315535,0.226896
0.324725,0.223458
0.332566,0.220242
0.340408,0.217205
0.348892,0.21433
0.357364,0.211582
0.365172,0.208958
0.37295,0.206454
0.380645,0.204072
0.388315,0.201788
0.395968,0.199597
0.403631,0.197523
0.411256,0.19555
0.418923,0.193682
0.426992,0.191894
0.434624,0.190189
0.442214,0.188556
0.449793,0.186984
0.457369,0.185468
0.464894,0.184008
0.472409,0.182609
0.479902,0.18126
0.487389,0.17996
0.49487,0.178702
0.502323,0.177484
0.509739,0.176304
0.517172,0.175157
0.524602,0.174051
0.532002,0.172984
0.539373,0.171951
0.546752,0.170947
0.55414,0.169972
0.561493,0.169026
0.568825,0.168104
0.576163,0.167208
0.583486,0.166333
0.59132,0.16548
0.598652,0.164648
0.605948,0.163837
0.613252,0.16305
0.620545,0.162282
0.627814,0.161533
0.635158,0.160797
0.642487,0.160081
0.649806,0.159379
0.657079,0.158692
0.664357,0.158017
0.671627,0.157358
0.678881,0.156715
0.686114,0.156085
0.69333,0.155464
0.700538,0.154853
0.707776,0.154252
0.714971,0.153661
0.722177,0.153081
0.729365,0.152511
0.736575,0.151949
0.743776,0.151397
0.750991,0.150856
0.758183,0.150322
0.765364,0.149797
0.772545,0.149278
0.779735,0.148766
0.786878,0.148263
0.794026,0.14777
0.801171,0.147288
0.808318,0.146813
0.815449,0.146346
0.822582,0.145888
0.829697,0.145436
0.836808,0.14499
0.843937,0.144551
0.85106,0.144119
0.858167,0.143692
0.865284,0.143274
0.872392,0.142861
0.879512,0.142453
0.886622,0.14205
0.893721,0.141653
0.90081,0.141261
0.907927,0.140875
0.915018,0.140493
0.922108,0.140116
0.929189,0.139744
0.936287,0.139377
0.943379,0.139015
0.950471,0.138658
0.957565,0.138307
0.96465,0.13796
0.971733,0.137616
0.978829,0.137278
0.985906,0.136946
0.99297,0.136619
1.00003,0.136297
1.0138,0.135978
1.02091,0.135663
1.02798,0.135352
1.03504,0.135046
1.04214,0.134743
1.0492,0.134443
1.05631,0.134149
1.06338,0.133856
1.07041,0.133569
1.07746,0.133284
1.08449,0.133004
1.09152,0.132725
1.09857,0.132449
1.1056,0.132176
1.11264,0.131907
1.11967,0.13164
1.12671,0.131377
1.13379,0.131118
1.14086,0.130863
1.14792,0.130611
1.15499,0.130361
1.16206,0.130112
1.1691,0.129868
1.17616,0.129625
1.18321,0.129384
1.19026,0.129144
1.19732,0.128906
1.20436,0.128669
1.21138,0.128435
1.21842,0.128202
1.22545,0.127973
1.2325,0.127745
1.23956,0.12752
1.24662,0.127297
1.25368,0.127076
1.26071,0.126859
1.26775,0.126641
1.2748,0.126426
1.28182,0.126213
1.28886,0.126002
1.29589,0.125793
1.30291,0.125586
1.30996,0.125381
1.31698,0.125177
1.32401,0.124975
1.33103,0.124776
1.33806,0.124576
1.34509,0.124379
1.35212,0.124183
1.35916,0.12399
1.36617,0.123797
1.37318,0.123608
1.38018,0.123419
1.38721,0.123232
1.39419,0.123047
1.40116,0.122864
1.40814,0.122682
1.41512,0.122502
1.42209,0.122324
1.42909,0.122148
1.43605,0.121973
1.443,0.1218
1.44994,0.121629
1.45686,0.121461
1.46379,0.121291
1.47073,0.121123
1.47765,0.120957
1.48459,0.120793
1.4915,0.12063
1.49843,0.120469
1.50533,0.120308
1.51223,0.12015
1.51914,0.119993
1.52603,0.119838
1.53293,0.119683
1.53985,0.119528
1.54673,0.119375
1.55361,0.119222
1.5605,0.119072
1.56739,0.118922
1.57427,0.118774
1.58115,0.118628
1.58805,0.118482
1.59497,0.118337
1.60185,0.118191
1.60874,0.118048
1.61561,0.117907
1.62247,0.117767
1.62935,0.11763
1.63623,0.117491
1.6431,0.117352
1.64999,0.117215
1.65687,0.117079
1.66386,0.116947
1.67079,0.116814
1.67767,0.116682
1.68455,0.11655
1.69146,0.116419
1.69838,0.11629
1.7053,0.116162
1.7122,0.116036
1.71906,0.115912
1.72591,0.115788
1.7328,0.115668
1.73965,0.115547
1.74652,0.115424
1.75337,0.115303
1.76025,0.115183
1.7671,0.115064
1.77397,0.114949
1.78082,0.114837
1.78766,0.114723
1.79453,0.11461
1.80145,0.114496
1.80837,0.114382
1.81529,0.114269
1.82218,0.114159
1.82905,0.114052
1.83594,0.113947
