1,0.001,1000
Loss,Accuracy
0.036691,0.924467
0.076797,0.848832
0.111039,0.773415
0.141868,0.701676
0.167854,0.640661
0.193314,0.586705
0.220098,0.538177
0.247291,0.4964
0.273808,0.461618
0.299548,0.432531
0.324848,0.407849
0.349757,0.3868
0.374173,0.368632
0.39818,0.352593
0.422135,0.33828
0.445542,0.32543
0.468838,0.313949
0.491616,0.303538
0.514402,0.294157
0.536868,0.285638
0.559132,0.27788
0.581081,0.270767
0.602905,0.26424
0.624536,0.258245
0.646108,0.252715
0.667457,0.247562
0.688628,0.242764
0.709735,0.238316
0.730916,0.234151
0.751835,0.230267
0.772572,0.226623
0.793252,0.223202
0.81392,0.219996
0.834565,0.216976
0.855047,0.21411
0.875343,0.211367
0.89561,0.208754
0.915881,0.206258
0.936168,0.203883
0.956429,0.201601
0.976865,0.19942
0.997337,0.197354
1.02788,0.195386
1.04721,0.193524
1.06625,0.191745
1.08526,0.190043
1.10418,0.188414
1.12301,0.186846
1.14193,0.185333
1.16079,0.183878
1.17964,0.182482
1.19848,0.181136
1.21737,0.179837
1.23615,0.178584
1.2549,0.177369
1.27361,0.176192
1.29218,0.175049
1.31085,0.173945
1.32947,0.172881
1.34803,0.171852
1.36662,0.170849
1.38511,0.169876
1.40355,0.16893
1.42205,0.168013
1.44094,0.167118
1.45956,0.166244
1.47813,0.165392
1.49653,0.164561
1.51492,0.163753
1.53324,0.162967
1.55156,0.1622
1.56981,0.161451
1.58795,0.160718
1.60608,0.160004
1.62435,0.159303
1.64276,0.158616
1.66112,0.157942
1.67946,0.157284
1.69745,0.156642
1.71554,0.156012
1.73362,0.155392
1.75182,0.154781
1.76986,0.154182
1.78778,0.153593
1.8057,0.153014
1.82365,0.152444
1.84171,0.151882
1.85983,0.15133
1.87769,0.150789
1.89556,0.150256
1.91346,0.149731
1.9314,0.149213
1.94945,0.148702
1.96744,0.1482
1.9853,0.147708
2.00347,0.147226
2.02133,0.146752
2.03925,0.146287
2.05713,0.145829
2.0748,0.145379
2.09261,0.144934
2.11057,0.144495
2.12827,0.144064
2.15824,0.143638
2.18637,0.14322
2.21132,0.142808
2.23433,0.1424
2.25572,0.141998
2.27503,0.141602
2.2936,0.141211
2.31194,0.140826
2.33016,0.140445
2.34851,0.140069
2.36702,0.139697
2.38554,0.139332
2.40415,0.138971
2.42259,0.138615
2.44115,0.138265
2.45995,0.137919
2.47981,0.137577
2.49932,0.137239
2.51781,0.136908
2.53603,0.136581
2.55441,0.13626
2.5728,0.135941
2.5911,0.135626
2.60921,0.135317
2.6273,0.135012
2.6455,0.134708
2.6638,0.134408
2.68244,0.134114
2.70086,0.133823
2.71916,0.133535
2.7375,0.133251
2.75574,0.13297
2.77373,0.132692
2.79181,0.132417
2.81013,0.132144
2.82801,0.131874
2.84614,0.13161
2.86411,0.131348
2.88205,0.131089
2.9001,0.130834
2.91805,0.130581
2.93603,0.130331
2.95406,0.130084
2.97197,0.129839
2.98981,0.129597
3.00858,0.129355
3.02702,0.129115
3.0447,0.128878
3.06236,0.128641
3.08013,0.128407
3.09783,0.128175
3.1158,0.127945
3.1333,0.127717
3.1509,0.127492
3.16854,0.127269
3.18593,0.127048
3.20352,0.12683
3.2213,0.126614
3.2388,0.126399
3.25631,0.126187
3.27405,0.125976
3.29145,0.125767
3.30903,0.125559
3.32657,0.125353
3.34483,0.12515
3.36317,0.124949
3.38092,0.124749
3.3983,0.124551
3.41578,0.124354
3.4335,0.124159
3.45126,0.123965
3.46937,0.123773
3.48694,0.123582
3.50441,0.123394
3.5218,0.123207
3.5393,0.123023
3.55709,0.12284
3.57445,0.122659
3.59191,0.12248
3.60941,0.122302
3.62689,0.122124
3.64437,0.12195
3.66181,0.121777
3.67916,0.121607
3.69642,0.121439
3.71396,0.12127
3.7313,0.121102
3.7487,0.120936
3.76643,0.120772
3.78396,0.120611
3.80131,0.12045
3.81876,0.12029
3.83643,0.120129
3.85378,0.119971
3.87126,0.119815
3.88858,0.119661
3.90605,0.119508
3.92351,0.119354
3.94105,0.119201
3.95854,0.119049
3.97595,0.1189
3.99331,0.118752
4.01076,0.118609
4.02842,0.118461
4.04576,0.118316
4.06315,0.118171
4.08038,0.118028
4.09769,0.117886
4.11512,0.117748
4.13245,0.11761
4.14984,0.117471
4.16725,0.117333
4.18442,0.117196
4.20197,0.11706
4.21952,0.116926
4.23707,0.116792
4.25434,0.116661
4.27189,0.116533
4.28909,0.116402
4.30629,0.116273
4.32347,0.116145
4.3408,0.116018
4.35849,0.115894
4.37589,0.115771
4.39334,0.11565
4.41077,0.115529
4.42816,0.115407
4.44558,0.115286
4.46302,0.115166
4.48025,0.115049
4.49757,0.114935
4.515,0.114821
4.53261,0.114707
4.55001,0.114592
4.56736,0.114478
4.58455,0.114364
4.60167,0.114254
4.61881,0.114144
4.63595,0.114038
4.65348,0.113932
4.67091,0.113825
4.68819,0.113717
4.70541,0.113609
4.72284,0.113502
4.74011,0.113397
4.7582,0.113293
4.7781,0.11319
4.79615,0.11309
4.81387,0.112989
4.83127,0.112886
4.84849,0.112785
4.86588,0.112682
4.88312,0.112581
4.90041,0.112482
4.91753,0.112386
4.93487,0.11229
4.95221,0.112199
4.9696,0.112099
4.98707,0.112001
5.00617,0.111901
5.02898,0.111803
5.04627,0.111707
5.06361,0.111614
5.08065,0.111526
5.09787,0.111442
5.11506,0.111345
5.13235,0.111254
5.14969,0.111157
5.16705,0.111064
5.18405,0.110974
5.20109,0.110886
5.21824,0.110802
5.23537,0.110717
5.25263,0.110624
5.26984,0.110535
5.28704,0.110443
5.30406,0.110354
5.32115,0.110266
5.3383,0.110181
5.35542,0.110103
5.37268,0.110029
5.38976,0.109938
5.4068,0.109854
5.42404,0.109767
5.44136,0.10968
5.45864,0.109592
5.47599,0.109509
5.49301,0.109426
5.51004,0.109348
5.52708,0.10928
5.54418,0.109199
5.56139,0.109114
5.57842,0.109029
5.59557,0.108945
5.61274,0.108862
5.62975,0.108781
5.64712,0.108701
5.66497,0.108627
5.68246,0.108561
5.69979,0.108488
5.71715,0.10841
5.73461,0.108328
5.75201,0.108247
5.76929,0.108165
5.78627,0.108089
5.80357,0.108012
5.82062,0.107942
5.83771,0.107882
5.85493,0.107814
5.8724,0.107733
5.88945,0.107659
5.90652,0.107584
5.92354,0.107507
5.94081,0.107433
5.95795,0.107359
5.97516,0.107288
5.99245,0.107225
6.01079,0.107176
6.02831,0.107105
6.04569,0.107033
6.0628,0.106955
6.08002,0.106885
6.09698,0.106812
6.1139,0.106744
6.13084,0.106677
6.1479,0.106617
6.16524,0.10656
6.18224,0.106497
6.19911,0.106426
6.2244,0.106355
6.25306,0.106282
6.27815,0.106213
6.30054,0.106147
6.32123,0.106087
6.34016,0.106036
6.3576,0.105982
6.37497,0.105923
6.39228,0.105853
6.40961,0.105783
6.42694,0.105714
6.44418,0.105649
6.46157,0.105585
6.47887,0.105528
6.49606,0.10548
6.51337,0.105431
6.53066,0.105365
6.54793,0.105298
6.56522,0.10523
6.58243,0.105165
6.59985,0.105101
6.61705,0.105038
6.63419,0.104979
6.65308,0.104936
6.67735,0.104894
6.69456,0.104835
6.71202,0.104771
6.72928,0.104703
6.7465,0.104639
6.76404,0.104581
6.78131,0.104524
6.79845,0.104476
6.81566,0.104431
6.83285,0.104378
6.85026,0.104313
6.86748,0.104246
6.88492,0.104184
6.90215,0.104123
6.91927,0.104065
6.94099,0.104011
6.971,0.103971
6.99627,0.103934
7.01885,0.103884
7.03933,0.103831
7.05829,0.103763
7.07561,0.103702
7.09225,0.103642
7.10888,0.103585
7.12561,0.103532
7.14251,0.103488
7.15937,0.103451
7.17624,0.10341
7.19288,0.103347
7.20968,0.103288
7.22651,0.103225
7.243,0.103166
7.25965,0.103111
7.27667,0.103058
7.29329,0.10301
7.31005,0.102986
7.32682,0.102953
7.34349,0.1029
7.36019,0.102838
7.37701,0.102783
7.39376,0.102726
7.41035,0.102676
7.4271,0.102621
7.44365,0.102571
7.46033,0.102525
7.47722,0.102492
7.49407,0.102464
7.51088,0.102421
7.52757,0.102357
7.54409,0.102303
7.56077,0.102245
7.5774,0.10219
7.5939,0.102139
7.61161,0.102092
7.62845,0.10205
7.64527,0.102029
7.66254,0.102006
7.67975,0.101965
7.69671,0.1019
7.71382,0.101844
7.73046,0.10179
7.74701,0.101741
7.76378,0.101694
7.78054,0.101652
7.79729,0.10162
7.81389,0.101605
7.83056,0.10156
7.84724,0.101517
7.86385,0.101455
7.88057,0.101398
7.89705,0.101347
7.91372,0.101299
7.93027,0.101253
7.94705,0.101211
7.96398,0.10119
7.98093,0.101187
7.99775,0.10115
8.01455,0.101103
8.03134,0.101045
8.04794,0.100993
8.06448,0.100947
8.08134,0.100896
8.09784,0.100854
8.11439,0.100812
8.13118,0.100787
8.14786,0.100771
8.16454,0.100732
8.18147,0.100703
8.19797,0.100648
8.21448,0.100593
8.23104,0.100543
8.24778,0.100492
8.26422,0.100447
8.2809,0.100405
8.29757,0.100372
8.31421,0.100368
8.33109,0.100362
8.3478,0.100329
8.36465,0.100279
8.38153,0.100229
8.39806,0.100176
8.41476,0.100127
8.43148,0.100082
8.448,0.100039
8.46457,0.100005
8.48136,0.0999863
8.49811,0.0999808
8.51467,0.0999582
8.53128,0.0999016
8.54802,0.0998489
8.56454,0.0997984
8.58121,0.0997505
8.59782,0.0997065
8.61421,0.0996648
8.63068,0.0996293
8.64708,0.099611
8.66386,0.0996194
8.68067,0.0996015
8.69721,0.0995573
8.71405,0.0995144
8.73067,0.0994592
8.74717,0.0994089
8.76378,0.099371
8.78054,0.0993312
8.79699,0.0992926
8.81354,0.099256
8.83027,0.0992265
8.847,0.0992254
8.86387,0.0992139
8.88069,0.0991851
8.89729,0.0991294
8.91386,0.0990839
8.93038,0.0990336
8.94707,0.0989839
8.96372,0.0989422
8.98059,0.0989033
8.99738,0.0988708
9.01399,0.0988487
9.03158,0.0988688
9.05034,0.0988678
9.06754,0.0988161
9.0846,0.0987826
9.10155,0.0987266
9.11843,0.0986757
9.13534,0.0986331
9.15191,0.098596
9.16874,0.0985662
9.18548,0.0985501
9.20198,0.0985491
9.2187,0.0985357
9.23533,0.0984894
9.25189,0.0984484
9.26849,0.0983967
9.2852,0.0983486
9.30161,0.0983061
9.31805,0.0982675
9.33469,0.0982333
9.35144,0.0982091
9.36802,0.098217
9.38465,0.0982412
9.40122,0.0982115
9.41781,0.0981832
9.43457,0.0981237
9.45131,0.0980759
9.46796,0.0980296
9.48465,0.0979901
9.50114,0.0979534
9.5178,0.0979196
9.53444,0.0978938
9.551,0.0978903
9.56771,0.0979066
9.58438,0.097898
9.60089,0.0978363
9.61734,0.0977946
9.63397,0.0977438
9.65062,0.0977022
9.66738,0.0976626
9.68431,0.0976245
9.70129,0.09759
9.71806,0.0975615
9.73486,0.0975619
9.75172,0.0975983
9.76884,0.0975872
9.78577,0.0975663
9.80277,0.0974989
9.81959,0.0974649
9.83639,0.0974179
9.8531,0.0973813
9.86956,0.0973433
9.8861,0.0973125
9.90256,0.0972832
9.91899,0.0972682
9.93572,0.0972804
9.95259,0.0973039
9.96929,0.0972555
9.98608,0.097228
10.0026,0.097168
10.0192,0.0971205
10.0358,0.0970748
10.0523,0.0970381
10.0688,0.0970048
10.0853,0.0969751
10.1019,0.0969628
10.1183,0.0969837
10.135,0.0970191
10.1518,0.0970027
10.1694,0.0969533
10.1864,0.0969192
10.2031,0.0968682
10.2198,0.0968307
10.2362,0.0967889
10.2526,0.096754
10.2691,0.0967192
10.2856,0.0966911
10.3021,0.0966695
10.3186,0.0966781
10.3351,0.0967083
10.3519,0.0967183
10.3688,0.0966604
10.3855,0.0966268
10.402,0.0965723
10.4185,0.0965332
10.4352,0.0964895
10.4516,0.0964535
10.4682,0.0964203
10.485,0.096391
10.5014,0.0963681
10.5179,0.0963823
10.5345,0.0964277
10.551,0.0964492
10.5678,0.0963929
10.5845,0.096376
10.601,0.0963097
10.6174,0.0962757
10.6338,0.0962411
10.6502,0.0962217
10.667,0.0961977
10.6837,0.0961908
10.7004,0.0961832
10.7169,0.0961977
10.7334,0.0961497
10.7498,0.0961249
10.7665,0.0960627
10.7832,0.0960155
10.7996,0.095979
10.8159,0.0959495
10.8323,0.0959236
10.8487,0.095912
10.8654,0.0959277
10.882,0.095974
10.8989,0.0959688
10.9156,0.0959642
10.9322,0.0959051
10.9488,0.0958731
10.9655,0.0958082
10.9822,0.0957752
10.9991,0.095736
11.0157,0.0957089
11.0324,0.0956911
11.0492,0.0956917
11.0666,0.0957115
11.0849,0.0957553
11.1021,0.09571
11.119,0.0957012
11.1356,0.0956298
11.1521,0.0955945
11.1686,0.0955457
11.1851,0.0955088
11.2014,0.0954776
11.2178,0.0954498
11.2344,0.0954286
11.2508,0.0954363
11.2674,0.0954836
11.2839,0.0955336
11.3008,0.0954784
11.3172,0.0954748
11.3337,0.0953904
11.3501,0.095366
11.3666,0.0953296
11.3832,0.0953113
11.4001,0.0952789
11.4167,0.0952532
11.4341,0.0952204
11.4505,0.0951985
11.467,0.0951819
11.4836,0.0951901
11.5,0.095246
11.5165,0.0952649
11.533,0.0952022
11.5498,0.0951856
11.5665,0.0951223
11.5831,0.0950841
11.5995,0.0950409
11.6157,0.0950041
11.6319,0.0949726
11.6482,0.0949463
11.6647,0.0949264
11.6814,0.0949322
11.6985,0.0949926
11.7156,0.0950654
11.7326,0.0949939
11.7493,0.0950037
11.7662,0.0949172
11.7829,0.0949019
11.7994,0.0948631
11.8157,0.0948446
11.8324,0.0948057
11.8487,0.0947715
11.8656,0.0947356
11.8821,0.0947098
11.8984,0.0946856
11.9148,0.0946702
11.9312,0.0946882
11.9479,0.0947827
11.9645,0.0947608
11.9814,0.094769
11.9981,0.0946939
12.0148,0.0946845
12.0316,0.0946208
12.0479,0.0945925
12.0643,0.0945483
12.0808,0.0945202
12.0971,0.0944903
12.1137,0.0944649
12.1301,0.0944418
12.1467,0.0944257
12.1632,0.094453
12.1798,0.0945654
12.1965,0.0945343
12.2131,0.0945382
12.2295,0.094453
12.2463,0.0944595
12.263,0.094387
12.2796,0.0943619
12.296,0.0943209
12.3123,0.0942958
12.3288,0.0942697
12.3453,0.0942522
12.362,0.0942516
12.3786,0.0943108
12.3951,0.0943213
12.4118,0.0943538
12.4287,0.09427
12.4452,0.0942623
12.4617,0.0941864
12.4782,0.0941441
12.4946,0.0941059
12.5111,0.094075
12.5277,0.0940491
12.544,0.0940282
12.5605,0.0940229
12.5769,0.0940538
12.5934,0.0941494
12.6102,0.0941851
12.6269,0.0941116
12.6434,0.0941033
12.6601,0.0940368
12.6767,0.0940256
12.6931,0.093973
12.7095,0.0939497
12.7258,0.093918
12.7422,0.0938924
12.7588,0.0938652
12.7754,0.0938368
12.7919,0.0938131
12.8084,0.0937973
12.8249,0.0938212
12.8415,0.0939458
12.8581,0.0939303
12.8747,0.0939314
12.8916,0.0938545
12.9082,0.0938479
12.9251,0.0937753
12.9416,0.0937565
12.9581,0.0937271
12.9749,0.093712
12.9916,0.0936836
13.0079,0.0936615
13.0245,0.0936358
13.041,0.0936096
13.0574,0.093581
13.0741,0.0935542
13.0914,0.0935349
13.1095,0.093531
13.1269,0.0936106
13.1437,0.0937493
13.1608,0.0936806
13.1778,0.0936775
13.1943,0.093598
13.211,0.0935993
13.2274,0.0935355
13.2439,0.0935308
13.2605,0.0934831
13.2773,0.0934681
13.2938,0.0934461
13.3103,0.0934494
13.3267,0.0934627
13.3432,0.0935295
13.3598,0.0934625
13.3762,0.0934761
13.3929,0.093401
13.4095,0.0933503
13.4261,0.0933021
13.4427,0.0932727
13.459,0.0932487
13.4754,0.0932307
13.492,0.0932277
13.5084,0.0932589
13.525,0.0933311
13.5415,0.0934112
13.5581,0.0933418
13.5745,0.0933378
13.5913,0.0932596
13.6077,0.0932375
13.6242,0.0931841
13.6406,0.0931467
13.657,0.0931128
13.6733,0.093093
13.69,0.0930825
13.7065,0.0930979
13.7229,0.093151
13.7393,0.0932396
13.756,0.0932014
13.773,0.0931895
13.7901,0.0930993
13.8069,0.0930732
13.8239,0.0930256
13.8404,0.0929877
13.8566,0.0929531
13.873,0.0929285
13.8895,0.0929084
13.9061,0.0929026
13.9225,0.0929345
13.939,0.0930499
13.9558,0.0930795
13.9727,0.0930687
13.9896,0.0930158
14.006,0.0929869
14.0225,0.0929154
14.0388,0.0928873
14.0551,0.0928479
14.0717,0.0928224
14.0882,0.0927966
14.1047,0.0927784
14.121,0.0927694
14.1375,0.092802
14.1541,0.0928834
14.1708,0.0929307
14.1874,0.092894
14.2038,0.0928815
14.2202,0.0927948
14.2366,0.0927645
14.2531,0.0927195
14.271,0.0926876
14.2877,0.0926488
14.3042,0.092622
