1,0.01,200
Loss,Accuracy
1,0.403346
2,0.270177
3,0.225986
4,0.202852
5,0.185653
6,0.172279
7,0.162486
8,0.155038
9,0.149139
10,0.144491
11,0.140514
12,0.137123
13,0.134128
14,0.131446
15,0.129012
16,0.1268
17,0.124823
18,0.123039
19,0.121496
20,0.120121
21,0.11891
22,0.11774
23,0.116873
24,0.11584
25,0.114977
26,0.11388
27,0.112735
28,0.111619
29,0.110595
30,0.109613
31,0.108828
32,0.108237
33,0.10815
34,0.108568
35,0.10909
36,0.109386
37,0.109226
38,0.108132
39,0.106747
40,0.105223
41,0.104004
42,0.103146
43,0.102474
44,0.101947
45,0.101619
46,0.101837
47,0.102825
48,0.104584
49,0.106067
50,0.10637
51,0.10563
52,0.103667
53,0.101895
54,0.10056
55,0.0994289
56,0.0988758
57,0.098339
58,0.0980993
59,0.0981722
60,0.0992222
61,0.101175
62,0.103316
63,0.104669
64,0.104513
65,0.103453
66,0.101325
67,0.0992309
68,0.0979423
69,0.097015
70,0.096397
71,0.0958611
72,0.0955438
73,0.0952718
74,0.0955224
75,0.0968329
76,0.0999297
77,0.103543
78,0.105466
79,0.105876
80,0.103037
81,0.100389
82,0.0980727
83,0.0965126
84,0.0955569
85,0.0949672
86,0.0945092
87,0.0942205
88,0.0943212
89,0.0954614
90,0.0981433
91,0.101003
92,0.103403
93,0.105359
94,0.103089
95,0.100838
96,0.0980675
97,0.0961813
98,0.0949819
99,0.0942642
100,0.0937007
101,0.0932364
102,0.092985
103,0.0928412
104,0.0934849
105,0.0961958
106,0.100455
107,0.104907
108,0.106046
109,0.106323
110,0.101553
111,0.0983186
112,0.0961325
113,0.0946756
114,0.0937018
115,0.0931336
116,0.0928589
117,0.0927062
118,0.0935513
119,0.0960027
120,0.0995258
121,0.103146
122,0.103679
123,0.104939
124,0.100758
125,0.0978043
126,0.095843
127,0.0944844
128,0.09346
129,0.0929118
130,0.0925673
131,0.092247
132,0.0924218
133,0.0936221
134,0.0963937
135,0.0998322
136,0.103032
137,0.107469
138,0.105524
139,0.103559
140,0.0980795
141,0.0954662
142,0.0939524
143,0.0930061
144,0.0923441
145,0.0918202
146,0.0914736
147,0.0912881
148,0.0914304
149,0.0924748
150,0.0955805
151,0.100266
152,0.10487
153,0.109886
154,0.106849
155,0.104306
156,0.0982055
157,0.0956382
158,0.0942508
159,0.0933587
160,0.0927074
161,0.092418
162,0.0925641
163,0.0938676
164,0.0960947
165,0.0988284
166,0.100976
167,0.103482
168,0.101893
169,0.100495
170,0.0971059
171,0.0951831
172,0.0939651
173,0.0932844
174,0.0925611
175,0.0919537
176,0.0915839
177,0.0912286
178,0.0913313
179,0.0921811
180,0.0953645
181,0.101029
182,0.106677
183,0.111237
184,0.107465
185,0.104146
186,0.0976764
187,0.0949377
188,0.0933445
189,0.0924032
190,0.0917852
191,0.0913316
192,0.0910898
193,0.0910422
194,0.0921255
195,0.0954652
196,0.10033
197,0.105928
198,0.107135
199,0.107726
200,0.101224
