index,Cross Entropy,Accuracy
0,1.00016,0.485278
1,0.770028,0.925007
2,0.650193,0.930392
3,0.574,0.93637
4,0.520077,0.940717
5,0.479393,0.94383
6,0.447341,0.945509
7,0.421282,0.946843
8,0.39958,0.948523
9,0.381158,0.949313
10,0.365275,0.950598
11,0.351404,0.951734
12,0.339157,0.953216
13,0.328241,0.954204
14,0.318435,0.955044
15,0.309561,0.955489
16,0.301482,0.955983
17,0.294085,0.956477
18,0.287278,0.957218
19,0.280987,0.958107
20,0.275149,0.958403
21,0.269711,0.95949
22,0.26463,0.959984
23,0.259866,0.960429
24,0.255389,0.960775
25,0.251168,0.961466
26,0.247181,0.961763
27,0.243406,0.962257
28,0.239823,0.962652
29,0.236418,0.963146
30,0.233174,0.963344
31,0.23008,0.96364
32,0.227124,0.963788
33,0.224294,0.964183
34,0.221583,0.964529
35,0.218982,0.964974
36,0.216482,0.965369
37,0.214078,0.965616
38,0.211763,0.965863
39,0.209531,0.966159
40,0.207378,0.966604
41,0.205298,0.96695
42,0.203287,0.967246
43,0.201341,0.967444
44,0.199457,0.96774
45,0.197631,0.967987
46,0.195859,0.968234
47,0.19414,0.968432
48,0.192471,0.968679
49,0.190848,0.968728
50,0.18927,0.968975
51,0.187734,0.969222
52,0.186238,0.969519
53,0.184782,0.969716
54,0.183362,0.969963
55,0.181977,0.970112
56,0.180625,0.970161
57,0.179306,0.970507
58,0.178017,0.970803
59,0.176759,0.971001
60,0.175528,0.9711
61,0.174324,0.971396
62,0.173147,0.971594
63,0.171994,0.97189
64,0.170866,0.971989
65,0.169761,0.972137
66,0.168678,0.972434
67,0.167617,0.972582
68,0.166576,0.972631
69,0.165556,0.972878
70,0.164554,0.972878
71,0.163572,0.973026
72,0.162607,0.973125
73,0.16166,0.973323
74,0.16073,0.973619
75,0.159816,0.973718
76,0.158918,0.973817
77,0.158035,0.973916
78,0.157167,0.974014
79,0.156314,0.974212
80,0.155474,0.97436
81,0.154648,0.974459
82,0.153835,0.974508
83,0.153034,0.974607
84,0.152247,0.974657
85,0.151471,0.974706
86,0.150707,0.974805
87,0.149954,0.975002
88,0.149212,0.975101
89,0.148481,0.975249
90,0.147761,0.975398
91,0.14705,0.975447
92,0.14635,0.975595
93,0.145659,0.975645
94,0.144978,0.975793
95,0.144306,0.975941
96,0.143643,0.97604
97,0.142989,0.976188
98,0.142343,0.976188
99,0.141706,0.976188
100,0.141077,0.976238
101,0.140456,0.976238
102,0.139842,0.976386
103,0.139236,0.976485
104,0.138638,0.976732
105,0.138047,0.97683
106,0.137462,0.976929
107,0.136885,0.977077
108,0.136315,0.977176
109,0.135751,0.977324
110,0.135194,0.977423
111,0.134643,0.977522
112,0.134098,0.97772
113,0.13356,0.977818
114,0.133027,0.978016
115,0.132501,0.978016
116,0.13198,0.978214
117,0.131464,0.978312
118,0.130954,0.978461
119,0.13045,0.978609
120,0.129951,0.978609
121,0.129457,0.978658
122,0.128968,0.978856
123,0.128484,0.978905
124,0.128005,0.979004
125,0.127531,0.979004
126,0.127062,0.979103
127,0.126597,0.97935
128,0.126137,0.97935
129,0.125681,0.979449
130,0.12523,0.979646
131,0.124783,0.979696
132,0.12434,0.979696
133,0.123901,0.979745
134,0.123467,0.979844
135,0.123036,0.979893
136,0.12261,0.979943
137,0.122187,0.979992
138,0.121769,0.980041
139,0.121354,0.980041
140,0.120942,0.980091
141,0.120535,0.98014
142,0.120131,0.98019
143,0.11973,0.980387
144,0.119333,0.980437
145,0.118939,0.980585
146,0.118549,0.980634
147,0.118162,0.980634
148,0.117778,0.980634
149,0.117398,0.980733
150,0.117021,0.980832
151,0.116647,0.98098
152,0.116275,0.981079
153,0.115907,0.981128
154,0.115542,0.981128
155,0.11518,0.981178
156,0.114821,0.981277
157,0.114464,0.981326
158,0.114111,0.981375
159,0.11376,0.981474
160,0.113412,0.981622
161,0.113066,0.981672
162,0.112723,0.98182
163,0.112383,0.98182
164,0.112046,0.98182
165,0.111711,0.981869
166,0.111378,0.982018
167,0.111048,0.982116
168,0.110721,0.982166
169,0.110395,0.982215
170,0.110073,0.982265
171,0.109752,0.982265
172,0.109434,0.982265
173,0.109118,0.982314
174,0.108805,0.982462
175,0.108493,0.982462
176,0.108184,0.982462
177,0.107877,0.982462
178,0.107573,0.982462
179,0.10727,0.982561
180,0.106969,0.98261
181,0.106671,0.98266
182,0.106374,0.982808
183,0.10608,0.982956
184,0.105787,0.983104
185,0.105497,0.983154
186,0.105208,0.983253
187,0.104922,0.983253
188,0.104637,0.983302
189,0.104354,0.983351
190,0.104073,0.983401
191,0.103794,0.983401
192,0.103517,0.98345
193,0.103241,0.983549
194,0.102968,0.983598
195,0.102696,0.983598
196,0.102425,0.983648
197,0.102157,0.983648
198,0.10189,0.983648
199,0.101625,0.983648
200,0.101361,0.983648
201,0.101099,0.983747
202,0.100839,0.983747
203,0.10058,0.983845
204,0.100323,0.983895
205,0.100068,0.984043
206,0.0998137,0.984092
207,0.0995612,0.984142
208,0.0993103,0.984142
209,0.0990609,0.984241
210,0.098813,0.984241
211,0.0985665,0.984241
212,0.0983215,0.984241
213,0.098078,0.984389
214,0.0978358,0.984488
215,0.0975951,0.984488
216,0.0973558,0.984636
217,0.0971179,0.984685
218,0.0968813,0.984735
219,0.0966461,0.984685
220,0.0964122,0.984784
221,0.0961797,0.984883
222,0.0959484,0.984982
223,0.0957185,0.985031
224,0.0954899,0.985179
225,0.0952625,0.985229
226,0.0950364,0.985278
227,0.0948116,0.985278
228,0.094588,0.985328
229,0.0943656,0.985328
230,0.0941444,0.985328
231,0.0939245,0.985328
232,0.0937057,0.985426
233,0.0934882,0.985476
234,0.0932718,0.985525
235,0.0930565,0.985525
236,0.0928424,0.985575
237,0.0926295,0.985575
238,0.0924176,0.985575
239,0.0922069,0.985624
240,0.0919974,0.985772
241,0.0917889,0.985822
242,0.0915814,0.985822
243,0.0913751,0.98592
244,0.0911699,0.98592
245,0.0909657,0.98592
246,0.0907625,0.986019
247,0.0905604,0.986069
248,0.0903593,0.986069
249,0.0901593,0.986069
250,0.0899602,0.986118
251,0.0897622,0.986118
252,0.0895652,0.986217
253,0.0893691,0.986217
254,0.089174,0.986217
255,0.0889799,0.986316
256,0.0887868,0.986316
257,0.0885946,0.986316
258,0.0884034,0.986316
259,0.0882131,0.986365
260,0.0880237,0.986414
261,0.0878353,0.986513
262,0.0876478,0.986563
263,0.0874611,0.986661
264,0.0872754,0.986711
265,0.0870906,0.98676
266,0.0869067,0.986908
267,0.0867236,0.986908
268,0.0865414,0.986958
269,0.0863601,0.986958
270,0.0861796,0.987106
271,0.086,0.987106
272,0.0858212,0.987155
273,0.0856433,0.987155
274,0.0854662,0.987254
275,0.0852899,0.987304
276,0.0851144,0.987353
277,0.0849398,0.987402
278,0.0847659,0.987452
279,0.0845929,0.987501
280,0.0844206,0.987501
281,0.0842492,0.987501
282,0.0840785,0.9876
283,0.0839086,0.987649
284,0.0837394,0.987649
285,0.083571,0.987649
286,0.0834034,0.987649
287,0.0832365,0.987649
288,0.0830704,0.987649
289,0.082905,0.987649
290,0.0827403,0.987649
291,0.0825764,0.987649
292,0.0824132,0.987649
293,0.0822507,0.987649
294,0.0820889,0.987699
295,0.0819278,0.987748
296,0.0817675,0.987798
297,0.0816078,0.987798
298,0.0814488,0.987946
299,0.0812905,0.988045
300,0.0811329,0.988143
301,0.080976,0.988193
302,0.0808197,0.988193
303,0.0806642,0.988242
304,0.0805092,0.988242
305,0.080355,0.988242
306,0.0802013,0.988242
307,0.0800484,0.988242
308,0.0798961,0.98839
309,0.0797444,0.988489
310,0.0795933,0.988489
311,0.0794429,0.988539
312,0.0792931,0.988539
313,0.079144,0.988539
314,0.0789954,0.988539
315,0.0788475,0.988539
316,0.0787001,0.988539
317,0.0785534,0.988539
318,0.0784073,0.988588
319,0.0782618,0.988786
320,0.0781169,0.988786
321,0.0779725,0.988786
322,0.0778288,0.988786
323,0.0776856,0.988786
324,0.077543,0.988884
325,0.077401,0.988884
326,0.0772595,0.988884
327,0.0771186,0.988934
328,0.0769783,0.988934
329,0.0768385,0.988934
330,0.0766993,0.988934
331,0.0765607,0.988983
332,0.0764226,0.988983
333,0.076285,0.988983
334,0.076148,0.988983
335,0.0760115,0.989033
336,0.0758755,0.989082
337,0.0757401,0.989082
338,0.0756052,0.989132
339,0.0754708,0.989132
340,0.075337,0.989132
341,0.0752036,0.989132
342,0.0750708,0.989132
343,0.0749385,0.989181
344,0.0748067,0.98928
345,0.0746754,0.989379
346,0.0745446,0.989428
347,0.0744143,0.989428
348,0.0742845,0.989527
349,0.0741552,0.989527
350,0.0740264,0.989576
351,0.073898,0.989576
352,0.0737702,0.989576
353,0.0736428,0.989576
354,0.0735159,0.989626
355,0.0733895,0.989626
356,0.0732635,0.989626
357,0.073138,0.989626
358,0.073013,0.989626
359,0.0728884,0.989675
360,0.0727643,0.989675
361,0.0726407,0.989675
362,0.0725175,0.989724
363,0.0723948,0.989724
364,0.0722725,0.989724
365,0.0721506,0.989724
366,0.0720292,0.989724
367,0.0719083,0.989774
368,0.0717878,0.989774
369,0.0716677,0.989823
370,0.071548,0.989823
371,0.0714288,0.989922
372,0.07131,0.989971
373,0.0711916,0.989971
374,0.0710737,0.989971
375,0.0709562,0.99007
376,0.0708391,0.99007
377,0.0707224,0.99007
378,0.0706061,0.99007
379,0.0704903,0.990169
380,0.0703748,0.990169
381,0.0702598,0.990218
382,0.0701451,0.990218
383,0.0700309,0.990218
384,0.069917,0.990218
385,0.0698036,0.990218
386,0.0696906,0.990268
387,0.0695779,0.990268
388,0.0694657,0.990317
389,0.0693538,0.990317
390,0.0692423,0.990317
391,0.0691312,0.990367
392,0.0690205,0.990416
393,0.0689101,0.990465
394,0.0688002,0.990515
395,0.0686906,0.990614
396,0.0685814,0.990663
397,0.0684725,0.990762
398,0.0683641,0.990762
399,0.068256,0.990762
400,0.0681482,0.990762
401,0.0680409,0.990762
402,0.0679339,0.990861
403,0.0678272,0.990861
404,0.0677209,0.990861
405,0.067615,0.990861
406,0.0675094,0.990861
407,0.0674042,0.990861
408,0.0672993,0.990861
409,0.0671948,0.990959
410,0.0670906,0.991009
411,0.0669868,0.991009
412,0.0668833,0.991009
413,0.0667801,0.991058
414,0.0666773,0.991108
415,0.0665749,0.991157
416,0.0664727,0.991157
417,0.0663709,0.991157
418,0.0662695,0.991157
419,0.0661683,0.991157
420,0.0660675,0.991157
421,0.065967,0.991157
422,0.0658669,0.991157
423,0.065767,0.991206
424,0.0656675,0.991256
425,0.0655684,0.991256
426,0.0654695,0.991305
427,0.0653709,0.991305
428,0.0652727,0.991305
429,0.0651748,0.991355
430,0.0650772,0.991355
431,0.0649799,0.991355
432,0.0648829,0.991355
433,0.0647862,0.991355
434,0.0646899,0.991355
435,0.0645938,0.991404
436,0.064498,0.991453
437,0.0644026,0.991453
438,0.0643074,0.991404
439,0.0642125,0.991404
440,0.064118,0.991453
441,0.0640237,0.991503
442,0.0639297,0.991503
443,0.0638361,0.991503
444,0.0637427,0.991552
445,0.0636496,0.991552
446,0.0635568,0.991602
447,0.0634643,0.991651
448,0.063372,0.99175
449,0.0632801,0.99175
450,0.0631884,0.99175
451,0.063097,0.99175
452,0.0630059,0.99175
453,0.0629151,0.99175
454,0.0628246,0.99175
455,0.0627343,0.991799
456,0.0626443,0.991799
457,0.0625546,0.991799
458,0.0624651,0.991849
459,0.062376,0.991849
460,0.0622871,0.991849
461,0.0621984,0.991849
462,0.06211,0.991898
463,0.0620219,0.991898
464,0.0619341,0.991898
465,0.0618465,0.991898
466,0.0617592,0.991898
467,0.0616722,0.991898
468,0.0615854,0.991898
469,0.0614989,0.991898
470,0.0614126,0.991947
471,0.0613266,0.991947
472,0.0612408,0.991947
473,0.0611553,0.992046
474,0.06107,0.992096
475,0.060985,0.992096
476,0.0609003,0.992096
477,0.0608158,0.992145
478,0.0607315,0.992194
479,0.0606475,0.992194
480,0.0605638,0.992194
481,0.0604803,0.992194
482,0.060397,0.992194
483,0.060314,0.992194
484,0.0602312,0.992194
485,0.0601486,0.992194
486,0.0600663,0.992244
487,0.0599842,0.992244
488,0.0599024,0.992244
489,0.0598208,0.992244
490,0.0597395,0.992293
491,0.0596583,0.992343
492,0.0595774,0.992343
493,0.0594968,0.992392
494,0.0594164,0.992392
495,0.0593362,0.992392
496,0.0592562,0.992392
497,0.0591764,0.992392
