Accuracy,Loss
1,0.01
0.925452,0.914344
0.92644,0.837829
0.925699,0.76207
0.925403,0.69394
0.925847,0.634597
0.925353,0.581575
0.92565,0.534264
0.926638,0.493824
0.927181,0.460008
0.929256,0.431453
0.93143,0.407323
0.934097,0.386668
0.936123,0.368651
0.938494,0.352465
0.939779,0.338228
0.941409,0.325358
0.942545,0.313774
0.943237,0.303261
0.944472,0.293804
0.945312,0.285317
0.946003,0.277501
0.946399,0.270345
0.946695,0.263758
0.946991,0.257641
0.947238,0.251943
0.948078,0.246689
0.948819,0.241744
0.949709,0.237162
0.950104,0.233007
0.950944,0.22896
0.95124,0.225186
0.951487,0.221708
0.95203,0.218488
0.95203,0.215434
0.952524,0.212529
0.952821,0.209682
0.953068,0.207018
0.953414,0.204461
0.95376,0.202045
0.954007,0.199736
640825,677399,0.946008
0.95455,0.197486
0.954599,0.195401
0.954896,0.193426
0.955291,0.191505
0.955587,0.189638
0.955587,0.187918
0.956131,0.186222
0.956427,0.184594
0.956674,0.183047
0.956971,0.181553
0.957415,0.180114
0.957712,0.178735
0.958058,0.177382
0.958354,0.176095
0.9587,0.174879
0.959144,0.173677
0.959243,0.172532
0.959342,0.171392
0.959638,0.170326
0.959885,0.169266
0.959984,0.168229
0.959984,0.167242
0.960478,0.166299
0.960824,0.165351
0.96112,0.164429
0.961269,0.163536
0.961565,0.162665
0.961861,0.161817
0.961911,0.160998
0.962059,0.160191
0.962158,0.1594
0.962454,0.158629
0.962306,0.157882
0.962553,0.157142
0.962899,0.156438
0.963245,0.155744
0.963294,0.155077
0.963442,0.154418
0.963986,0.153758
0.964085,0.153112
645251,677399,0.952542
0.964183,0.152475
0.964282,0.151829
0.964529,0.151208
0.964579,0.150591
0.964826,0.150006
0.964974,0.149427
0.964974,0.148848
0.965023,0.148286
0.965171,0.147711
0.96527,0.147163
0.965468,0.146624
0.965468,0.146093
0.965715,0.145569
0.966011,0.145073
0.966159,0.144569
0.966308,0.144092
0.966406,0.143624
0.966505,0.143124
0.966604,0.142655
0.966604,0.142201
0.966653,0.141752
0.966752,0.141287
0.966851,0.140857
0.966999,0.140425
0.966999,0.139985
0.967098,0.139554
0.967296,0.13914
0.967197,0.138724
0.967197,0.138327
0.967296,0.13793
0.967493,0.137534
0.967543,0.137158
0.967592,0.136776
0.96779,0.136402
0.967987,0.136031
0.968136,0.135665
0.968284,0.135315
0.968284,0.134964
0.968333,0.134618
0.968432,0.134276
647595,677399,0.956002
0.96858,0.133936
0.96863,0.133608
0.96863,0.133289
0.968679,0.132959
0.968877,0.132638
0.968877,0.132317
0.968926,0.132008
0.968975,0.131704
0.969173,0.131401
0.969173,0.131099
0.969321,0.130798
0.969321,0.130505
0.969321,0.130209
0.969321,0.129926
0.969371,0.129636
0.96942,0.129349
0.969519,0.129073
0.969568,0.128801
0.969618,0.128526
0.969815,0.128249
0.969865,0.127982
0.969865,0.127712
0.970161,0.127453
0.97021,0.127194
0.970309,0.126938
